@relation house_data

@attribute sizeMeters numeric real
@attribute furnished {yes, no}
@attribute hasLift {yes, no}
@attribute ownerType {individual, estate}
@attribute legalized {me_hipoteke, pa_hipoteke}
@attribute buildingyear numeric
@attribute city {1AliDemi_TreguElektrik, 1Poligrafiku_Autotraktoret_Shkoze, 10Qender–Posta_LidhjaShkrimtareve,10Rr.Durresit_Prokuroria,11Instituti_Kamez_Paskuqan,11Laprake_Spitaliushtarak_Dogana,2Pazariiri_9katshet_Barrikada,2Piramida_ETC_TVSH_Stadiumi,2QytetiStudenti_Sauk,2Rr.eElbasanit_ShkollaBaletit,2TEG_Lunder_Farke_MjullBathore,3Fresku_Linze_Dajt,3Ministriaejashtme_Brryli,3Xhamlliku_Oxhaku_Profarma,4Kinostudio_Porcelan,4Spitali_Allias_Tufine,5Blloku,5KomunaParisit_KristalCenter,5Liqeni_Rr.Kosovareve_PetroNini,5Liqenithate_KopshtiBotanik,5Selite_KodraeDiellit,5StadiumiDinamo_SheshiWillson,5VasilShanto_BllokuVilaveSelite,6Astir_Unazaere_TeodorKeko,6Kombinat_Vaqarr_Ndroq,6PallatimeShigjeta_Delijorgji,6Yzberisht_MistoMame,7BllokuAmbasadave_Inxh.Ndertimit,7Ekspozita_GjykataRrethit,7FushaAviacionit,7MyslymShyri_DrejtoriaPolicise,7Parku_Globe_FabrikaBukes,7Rr.eKavajes_21Dhjetori,8ConcordCenter_5Maji,8Medreseja_TreguIndustrial,8Rr.Bardhyl_SiriKodra_RizaCerova,8Selvia_Rr.eDibres_Gj.Partizani,9DonBosko_JordanMisja,9Qender,9Rr.Fortuzi_MinePeza,9StacioniTrenit_ZoguiZi}
@attribute type {one_plus_one, two_plus_one}
@attribute price numeric


@data
55,no,yes,estate,me_hipoteke,2020,9StacioniTrenit_ZoguiZi,one_plus_one,60000
79,no,yes,estate,me_hipoteke,2020,1AliDemi_TreguElektrik,two_plus_one,60000
78,no,yes,estate,me_hipoteke,2020,5KomunaParisit_KristalCenter,one_plus_one,93600
180,no,yes,estate,me_hipoteke,2020,7Rr.eKavajes_21Dhjetori,two_plus_one,230000
101,no,yes,estate,me_hipoteke,2020,6Yzberisht_MistoMame,two_plus_one,70000
102,no,yes,estate,me_hipoteke,2020,6Astir_Unazaere_TeodorKeko,two_plus_one,71000
59,no,yes,estate,me_hipoteke,2020,1AliDemi_TreguElektrik,one_plus_one,44000
84,no,yes,estate,me_hipoteke,2020,1AliDemi_TreguElektrik,two_plus_one,61000
94,no,yes,estate,me_hipoteke,2020,5StadiumiDinamo_SheshiWillson,two_plus_one,160000
103,no,yes,estate,me_hipoteke,2020,5Liqenithate_KopshtiBotanik,two_plus_one,87000
95,no,yes,estate,me_hipoteke,2020,5KomunaParisit_KristalCenter,two_plus_one,93000
115,no,yes,estate,me_hipoteke,2020,9DonBosko_JordanMisja,two_plus_one,90100
110,no,yes,estate,me_hipoteke,2020,5KomunaParisit_KristalCenter,two_plus_one,110000
88,no,yes,estate,me_hipoteke,2020,6PallatimeShigjeta_Delijorgji,two_plus_one,74800
94,no,yes,estate,me_hipoteke,2020,6PallatimeShigjeta_Delijorgji,two_plus_one,79900
88,no,yes,estate,me_hipoteke,2020,2Rr.eElbasanit_ShkollaBaletit,two_plus_one,98000
61,no,yes,estate,me_hipoteke,2020,1AliDemi_TreguElektrik,one_plus_one,46000
90,no,yes,estate,me_hipoteke,2020,1AliDemi_TreguElektrik,two_plus_one,68000
61,no,yes,estate,me_hipoteke,2020,1AliDemi_TreguElektrik,one_plus_one,46000
110,no,yes,estate,me_hipoteke,2020,7BllokuAmbasadave_Inxh.Ndertimit,two_plus_one,91300
98,no,yes,estate,me_hipoteke,2020,5KomunaParisit_KristalCenter,two_plus_one,137500
49,no,yes,estate,me_hipoteke,2020,1AliDemi_TreguElektrik,one_plus_one,38000
93,no,yes,estate,me_hipoteke,2020,3Fresku_Linze_Dajt,one_plus_one,58000
90,no,yes,estate,me_hipoteke,2020,5VasilShanto_BllokuVilaveSelite,one_plus_one,97000
110,no,yes,estate,me_hipoteke,2020,7FushaAviacionit,one_plus_one,73000
133,no,yes,estate,me_hipoteke,2020,7FushaAviacionit,two_plus_one,90000
120,no,yes,estate,me_hipoteke,2020,7FushaAviacionit,two_plus_one,90000
65,no,yes,estate,me_hipoteke,2020,11Laprake_Spitaliushtarak_Dogana,one_plus_one,52000
91,no,yes,estate,me_hipoteke,2020,9DonBosko_JordanMisja,two_plus_one,82000
54,no,yes,estate,me_hipoteke,2020,1AliDemi_TreguElektrik,one_plus_one,46000
86,no,yes,estate,me_hipoteke,2020,4Kinostudio_Porcelan,two_plus_one,80000
90,no,yes,estate,me_hipoteke,2020,5VasilShanto_BllokuVilaveSelite,two_plus_one,100000
98,no,yes,estate,me_hipoteke,2020,7Parku_Globe_FabrikaBukes,two_plus_one,93100
83,no,yes,estate,me_hipoteke,2020,6Astir_Unazaere_TeodorKeko,two_plus_one,60000
114,no,yes,estate,me_hipoteke,2020,6Astir_Unazaere_TeodorKeko,two_plus_one,76380
86,no,yes,estate,me_hipoteke,2020,9StacioniTrenit_ZoguiZi,two_plus_one,69000
75,no,yes,estate,me_hipoteke,2020,3Xhamlliku_Oxhaku_Profarma,two_plus_one,65000
128,no,yes,estate,me_hipoteke,2020,6Yzberisht_MistoMame,two_plus_one,87000
85,no,yes,estate,me_hipoteke,2020,7Rr.eKavajes_21Dhjetori,two_plus_one,73000
98,no,yes,estate,me_hipoteke,2020,9DonBosko_JordanMisja,one_plus_one,80000
67,no,yes,estate,me_hipoteke,2020,9StacioniTrenit_ZoguiZi,one_plus_one,64000
90,no,yes,estate,me_hipoteke,2020,5Selite_KodraeDiellit,two_plus_one,135000
145,no,yes,estate,me_hipoteke,2020,2Pazariiri_9katshet_Barrikada,two_plus_one,145000
0,no,yes,estate,me_hipoteke,2020,5KomunaParisit_KristalCenter,two_plus_one,147000
57,no,yes,estate,me_hipoteke,2020,7MyslymShyri_DrejtoriaPolicise,one_plus_one,90000
50,no,yes,estate,me_hipoteke,2020,1AliDemi_TreguElektrik,one_plus_one,37000
83,no,yes,estate,me_hipoteke,2020,1AliDemi_TreguElektrik,two_plus_one,61000
72,no,yes,estate,me_hipoteke,2020,1AliDemi_TreguElektrik,one_plus_one,53000
80,no,yes,estate,me_hipoteke,2020,1AliDemi_TreguElektrik,two_plus_one,58000
78,no,yes,estate,me_hipoteke,2020,1AliDemi_TreguElektrik,one_plus_one,57000
68,no,yes,estate,me_hipoteke,2020,10Rr.Durresit_Prokuroria,one_plus_one,63000
102,no,yes,estate,me_hipoteke,2020,2Rr.eElbasanit_ShkollaBaletit,two_plus_one,108000
70,no,yes,estate,me_hipoteke,2020,5Selite_KodraeDiellit,one_plus_one,50000
98,no,yes,estate,me_hipoteke,2020,7Parku_Globe_FabrikaBukes,two_plus_one,93000
101,no,yes,estate,me_hipoteke,2020,6Astir_Unazaere_TeodorKeko,two_plus_one,82000
105,no,yes,estate,me_hipoteke,2020,6Astir_Unazaere_TeodorKeko,two_plus_one,83000
108,no,yes,estate,me_hipoteke,2020,6Yzberisht_MistoMame,two_plus_one,62000
115,no,yes,estate,me_hipoteke,2020,9DonBosko_JordanMisja,two_plus_one,90100
90,no,yes,estate,me_hipoteke,2020,2Rr.eElbasanit_ShkollaBaletit,one_plus_one,90000
88,no,yes,estate,me_hipoteke,2020,7Rr.eKavajes_21Dhjetori,two_plus_one,89000
184,no,yes,estate,me_hipoteke,2020,5Liqenithate_KopshtiBotanik,two_plus_one,115000
160,no,yes,estate,me_hipoteke,2020,7Rr.eKavajes_21Dhjetori,two_plus_one,216000
70,no,yes,estate,me_hipoteke,2020,3Fresku_Linze_Dajt,one_plus_one,36000
100,no,yes,estate,me_hipoteke,2020,5Liqenithate_KopshtiBotanik,two_plus_one,140000
96,no,yes,estate,me_hipoteke,2020,5Liqeni_Rr.Kosovareve_PetroNini,two_plus_one,153600
96,no,yes,estate,me_hipoteke,2020,9DonBosko_JordanMisja,two_plus_one,90000
57,no,yes,estate,me_hipoteke,2020,8Selvia_Rr.eDibres_Gj.Partizani,one_plus_one,62000
105,no,yes,estate,me_hipoteke,2020,7Rr.eKavajes_21Dhjetori,two_plus_one,110000
54,no,yes,estate,me_hipoteke,2020,6PallatimeShigjeta_Delijorgji,one_plus_one,54000
120,no,yes,estate,me_hipoteke,2020,9DonBosko_JordanMisja,two_plus_one,125000
64,no,yes,estate,me_hipoteke,2020,11Laprake_Spitaliushtarak_Dogana,one_plus_one,48000
112,no,yes,estate,me_hipoteke,2020,5Liqenithate_KopshtiBotanik,two_plus_one,137000
114,no,yes,estate,me_hipoteke,2020,6Astir_Unazaere_TeodorKeko,two_plus_one,76380
95,no,yes,estate,me_hipoteke,2020,8Rr.Bardhyl_SiriKodra_RizaCerova,two_plus_one,107000
63,no,yes,estate,me_hipoteke,2020,7Rr.eKavajes_21Dhjetori,one_plus_one,66500
78,no,yes,estate,me_hipoteke,2020,5KomunaParisit_KristalCenter,one_plus_one,93600
94,no,yes,estate,me_hipoteke,2020,5KomunaParisit_KristalCenter,two_plus_one,160000
139,no,yes,estate,me_hipoteke,2020,5Blloku,two_plus_one,239500
110,no,yes,estate,me_hipoteke,2020,7FushaAviacionit,two_plus_one,95000
48,no,yes,estate,me_hipoteke,2020,6Yzberisht_MistoMame,one_plus_one,37000
57,no,yes,estate,me_hipoteke,2020,9StacioniTrenit_ZoguiZi,one_plus_one,62000
115,no,yes,estate,me_hipoteke,2020,9DonBosko_JordanMisja,two_plus_one,90100
